task,arm,repeat,step,input_tokens,output_tokens,cached_input_tokens,reasoning_output_tokens
017,baseline,1,63,85718,399,85504,140
017,baseline,1,64,86185,721,86016,94
017,baseline,1,65,86923,822,86784,370
017,baseline,1,66,88036,582,87680,341
017,baseline,1,67,88700,730,88448,149
017,baseline,1,68,89482,713,89344,305
017,baseline,1,69,90567,106,90112,38
017,baseline,1,70,92416,343,90624,276
017,baseline,1,71,93205,833,92672,320
017,baseline,1,72,94770,1086,93952,1011
017,baseline,1,73,95964,436,95744,152
017,baseline,1,74,96414,534,96256,481
017,baseline,1,75,100389,453,96896,365
017,baseline,1,76,100925,420,100736,281
017,baseline,1,77,101459,158,101248,60
017,baseline,1,78,103913,395,101504,315
017,baseline,1,79,104322,963,104064,309
017,cbe,1,1,1325,146,768,8
017,cbe,1,2,3700,119,1408,0
017,cbe,1,3,6935,165,3712,12
017,cbe,1,4,7516,58,7040,0
017,cbe,1,5,8845,67,7552,8
017,cbe,1,6,12502,1101,8832,963
017,cbe,1,7,15037,1799,13568,1741
017,cbe,1,8,17310,267,16768,82
017,cbe,1,9,18208,132,17536,25
017,cbe,1,10,19861,59,18304,0
017,cbe,1,11,21462,3385,19840,3271
017,cbe,1,12,25443,143,24832,25
017,cbe,1,13,25675,80,25472,0
017,cbe,1,14,26344,5015,25728,4852
017,cbe,1,15,31859,223,31232,117
017,cbe,1,16,48128,1750,32000,1544
017,cbe,1,17,50065,6183,49792,5493
017,cbe,1,18,56825,710,56192,243
017,cbe,1,19,58727,1795,57472,1683
017,cbe,1,20,60569,1145,60416,1031
017,cbe,1,21,62322,3824,61696,3692
017,cbe,1,22,66395,1405,66048,799
017,cbe,1,23,68553,261,67712,138
017,cbe,1,24,71497,12164,68736,11770
017,cbe,1,25,83702,145,71680,62
017,cbe,1,26,84254,1523,83840,60
017,cbe,1,27,85795,962,85632,10
017,cbe,1,28,87235,66,86656,8
017,cbe,1,29,87724,2289,87296,1529
017,cbe,1,30,90759,336,89984,161
017,cbe,1,31,92848,1822,91008,1296
017,cbe,1,32,95053,798,94592,126
017,cbe,1,33,95871,986,95616,170
017,cbe,1,34,97020,886,96768,265
017,cbe,1,35,98038,1876,97792,1633
017,cbe,1,36,100152,360,99840,293
017,cbe,1,37,101187,5380,100480,4421
017,cbe,1,38,106585,292,106368,0
017,cbe,1,39,107057,1896,106752,1293
017,cbe,1,40,109044,977,108800,680
017,cbe,1,41,110140,369,109952,228
017,cbe,1,42,110779,105,110464,32
017,cbe,1,43,110975,84,110720,0
017,cbe,1,44,111097,978,110848,830
017,cbe,1,45,112109,134,111872,68
017,cbe,1,46,112851,573,112128,48
017,cbe,1,47,114301,1247,113408,1021
017,cbe,1,48,115615,636,115456,254
017,cbe,1,49,116334,528,116096,349
017,cbe,1,50,116954,530,116736,463
017,cbe,1,51,118727,472,117376,256
017,cbe,1,52,119384,264,119168,122
017,cbe,1,53,119702,958,119552,492
017,cbe,1,54,120708,603,120448,454
017,cbe,1,55,121359,381,121216,276
017,cbe,1,56,121821,283,121600,145
017,cbe,1,57,122238,986,121984,881
017,cbe,1,58,123299,306,123136,179
017,cbe,1,59,123636,3343,123392,2936
017,cbe,1,60,127164,3495,126976,3413
017,cbe,1,61,133789,1711,130560,1123
017,cbe,1,62,135609,425,135424,287
018,baseline,1,1,667,104,512,9
018,baseline,1,2,1345,62,768,0
018,baseline,1,3,3307,113,1280,0
018,baseline,1,4,5240,127,3328,35
018,baseline,1,5,6158,51,5248,0
018,baseline,1,6,8669,73,6144,15
018,baseline,1,7,16951,481,8704,422
018,baseline,1,8,17463,149,17280,63
018,baseline,1,9,18158,57,17536,0
